captured_at|calls|total_exec_time|mean_exec_time|rows|query
2026-01-22 21:30:35.042571+06|17|16.2168|0.9539294117647058|17|SELECT "public"."AppSetting"."key", "public"."AppSetting"."value", "public"."AppSetting"."createdAt", "public"."AppSetting"."updatedAt" FROM "public"."AppSetting" WHERE ("public"."AppSetting"."key" = $1 AND $4=$5) LIMIT $2 OFFSET $3
2026-01-22 21:30:35.042571+06|10|15.6342|1.5634199999999998|10|SELECT "public"."StaffMember"."id", "public"."StaffMember"."clerkId", "public"."StaffMember"."name", "public"."StaffMember"."email", "public"."StaffMember"."role"::text, "public"."StaffMember"."lastLogin", "public"."StaffMember"."paymentType", "public"."StaffMember"."salaryDetails", "public"."StaffMember"."commissionDetails", "public"."StaffMember"."permissions", "public"."StaffMember"."createdAt", "public"."StaffMember"."updatedAt", "public"."StaffMember"."phone", "public"."StaffMember"."staffCode" FROM "public"."StaffMember" WHERE "public"."StaffMember"."clerkId" = $1 LIMIT $2 OFFSET $3
2026-01-22 21:30:35.042571+06|14|11.0645|0.7903214285714285|14|SELECT "public"."Product"."id", "public"."Product"."name", "public"."Product"."sku", "public"."Product"."image", "public"."Product"."price", "public"."Product"."salePrice", "public"."Product"."productType"::text FROM "public"."Product" WHERE "public"."Product"."id" IN ($1) OFFSET $2
2026-01-22 21:30:35.042571+06|7|8.4304|1.2043428571428572|0|SELECT "public"."AttendanceRecord"."id", "public"."AttendanceRecord"."staffId", "public"."AttendanceRecord"."date", "public"."AttendanceRecord"."status"::text, "public"."AttendanceRecord"."checkInTime", "public"."AttendanceRecord"."checkOutTime", "public"."AttendanceRecord"."totalWorkDuration", "public"."AttendanceRecord"."totalBreakDuration" FROM "public"."AttendanceRecord" WHERE (("public"."AttendanceRecord"."staffId" = $1 AND "public"."AttendanceRecord"."date" = $2) AND $5=$6) LIMIT $3 OFFSET $4
2026-01-22 21:30:35.042571+06|8|7.246199999999999|0.905775|8|SELECT "public"."StaffInvite"."id", "public"."StaffInvite"."email", "public"."StaffInvite"."role"::text, "public"."StaffInvite"."permissions", "public"."StaffInvite"."businessIds", "public"."StaffInvite"."invitedBy", "public"."StaffInvite"."token", "public"."StaffInvite"."expiresAt", "public"."StaffInvite"."usedAt", "public"."StaffInvite"."createdAt", "public"."StaffInvite"."updatedAt", "public"."StaffInvite"."phone", "public"."StaffInvite"."status"::text FROM "public"."StaffInvite" WHERE "public"."StaffInvite"."email" = $1 ORDER BY "public"."StaffInvite"."createdAt" DESC LIMIT $2 OFFSET $3
2026-01-22 21:30:35.042571+06|3|5.0338|1.6779333333333335|3|SELECT COUNT(*) AS "_count$_all" FROM (SELECT "public"."StaffMember"."id" FROM "public"."StaffMember" WHERE $2=$3 OFFSET $1) AS "sub"
2026-01-22 21:30:35.042571+06|3|5.032|1.6773333333333333|3|SELECT SUM("public"."StaffPayment"."amount") AS "_sum$amount", "public"."StaffPayment"."staffId" FROM "public"."StaffPayment" WHERE "public"."StaffPayment"."staffId" IN ($1 /*, ... */) GROUP BY "public"."StaffPayment"."staffId" OFFSET $2
2026-01-22 21:30:35.042571+06|3|5.0297|1.676566666666667|9|SELECT "public"."Business"."id", "public"."Business"."name", "public"."Business"."logo", "public"."Business"."createdAt", "public"."Business"."updatedAt" FROM "public"."Business" WHERE "public"."Business"."id" IN ($1 /*, ... */) OFFSET $2
2026-01-22 21:30:35.042571+06|18|4.127999999999999|0.22933333333333333|54|SELECT "public"."_StaffBusinessAccess"."B", "public"."_StaffBusinessAccess"."A" FROM "public"."_StaffBusinessAccess" WHERE "public"."_StaffBusinessAccess"."B" IN ($1)
2026-01-22 21:30:35.042571+06|2|3.9607|1.98035|46|SELECT "public"."Account"."id", "public"."Account"."name", "public"."Account"."type"::text FROM "public"."Account" WHERE $2=$3 OFFSET $1
2026-01-22 21:30:35.042571+06|3|3.5913999999999997|1.1971333333333332|6|SELECT SUM("public"."StaffIncome"."amount") AS "_sum$amount", "public"."StaffIncome"."staffId" FROM "public"."StaffIncome" WHERE "public"."StaffIncome"."staffId" IN ($1 /*, ... */) GROUP BY "public"."StaffIncome"."staffId" OFFSET $2
2026-01-22 21:30:35.042571+06|8|3.4763|0.4345375000000001|8|SELECT "public"."StaffMember"."id" FROM "public"."StaffMember" WHERE ("public"."StaffMember"."clerkId" = $1 AND $3=$4) OFFSET $2
2026-01-22 21:30:35.042571+06|1|3.0963000000000003|3.0963000000000003|5|SELECT "public"."ExpenseCategory"."id", "public"."ExpenseCategory"."name", "public"."ExpenseCategory"."createdAt", "public"."ExpenseCategory"."updatedAt", "public"."ExpenseCategory"."expenseAccountId" FROM "public"."ExpenseCategory" WHERE $2=$3 ORDER BY "public"."ExpenseCategory"."name" ASC OFFSET $1
2026-01-22 21:30:35.042571+06|8|3.0816999999999997|0.38521249999999996|8|SELECT "public"."StaffMember"."id", "public"."StaffMember"."clerkId", "public"."StaffMember"."name", "public"."StaffMember"."email", "public"."StaffMember"."role"::text, "public"."StaffMember"."lastLogin", "public"."StaffMember"."paymentType", "public"."StaffMember"."salaryDetails", "public"."StaffMember"."commissionDetails", "public"."StaffMember"."permissions", "public"."StaffMember"."createdAt", "public"."StaffMember"."updatedAt", "public"."StaffMember"."phone", "public"."StaffMember"."staffCode" FROM "public"."StaffMember" WHERE "public"."StaffMember"."id" = $1 LIMIT $2 OFFSET $3
2026-01-22 21:30:35.042571+06|2|3.0609|1.53045|6|SELECT "public"."Product"."id", "public"."Product"."name", "public"."Product"."sku", "public"."Product"."image" FROM "public"."Product" WHERE EXISTS(SELECT "t0"."productId" FROM "public"."InventoryItem" AS "t0" WHERE ("t0"."quantity" > $1 AND ("public"."Product"."id") = ("t0"."productId") AND "t0"."productId" IS NOT NULL)) ORDER BY "public"."Product"."name" ASC, "public"."Product"."id" ASC LIMIT $2 OFFSET $3
(30 rows)
